gene,connectivity,dynamicColors,moduleColors,moduleLabels
Mycbp2,42.31967189778939,brown,brown,1
Slc5a3,42.15210916993271,brown,brown,1
Mmp16,42.00900608536158,brown,brown,1
Cdc42bpa,41.75403070023868,brown,brown,1
Lyst,41.51532380097461,brown,brown,1
Pdzd2,41.45680762430714,brown,brown,1
Ank3,40.79852696227749,brown,brown,1
Tnks,40.79752950696934,brown,brown,1
RGD1565819,40.72059880588699,brown,brown,1
Ago3,40.54613811037516,brown,brown,1
Exoc8,40.4473852497559,brown,brown,1
Ago1,40.101624354341396,brown,brown,1
Lifr,40.0947523495251,brown,brown,1
Prdm11,40.028984436277355,brown,brown,1
Tnrc18,39.96423025131168,brown,brown,1
Grm3,39.91142372165659,brown,brown,1
Arhgef12,39.33999689166737,brown,brown,1
Tppp,39.187197752928505,brown,brown,1
Akap5,39.11762955298488,brown,brown,1
Smcr8,38.941862086245905,brown,brown,1
Purb,38.86840674768191,brown,brown,1
Man1a2,38.85518533631918,brown,brown,1
Ttbk1,38.81494960787393,brown,brown,1
Mapk1ip1l,38.15330100566785,brown,brown,1
Cadm2,38.08965856923742,brown,brown,1
Prkar2a,37.95698223464616,brown,brown,1
Ip6k1,37.92294674447505,brown,brown,1
Prex2,37.909605752115745,brown,brown,1
Myt1l,37.702600457205484,brown,brown,1
Slc38a1,37.52670854235432,brown,brown,1
Thsd7a,37.35969645000143,brown,brown,1
Cbfa2t2,37.31303850449854,brown,brown,1
Peak1,37.09316158195302,brown,brown,1
Uggt1,37.07474520429256,brown,brown,1
Dlg2,36.779713009174074,brown,brown,1
Map1b,36.75663296873558,brown,brown,1
Pdpk1,36.34754146714016,brown,brown,1
Mllt4,36.3402055683407,brown,brown,1
Abcc1,36.19841590275229,brown,brown,1
Gsk3b,36.079159090458944,brown,brown,1
Erc2,35.945433438670044,brown,brown,1
Pex5l,35.83307913349757,brown,brown,1
Sh3pxd2a,35.765333806299445,brown,brown,1
Ccdc50,35.54489732042073,brown,brown,1
Kcnb1,35.447713816084025,brown,brown,1
Celsr3,34.99089731196176,brown,brown,1
Pik3c2b,34.984441605992245,brown,brown,1
Edem3,34.93664285440568,brown,brown,1
Ubr2,34.89892029778414,brown,brown,1
Kif5c,34.83315183766013,brown,brown,1
Gtf3c4,34.427706054642755,brown,brown,1
Rap2a,34.26031121649553,brown,brown,1
Ubn2,34.17079129573829,brown,brown,1
Oprm1,33.99656505517188,brown,brown,1
Baz2a,33.87011906882054,brown,brown,1
Acap2,33.696301710501615,brown,brown,1
Uhmk1,33.68079896337855,brown,brown,1
Nf1,33.568833900647334,brown,brown,1
